"used","BCP 47","Writing system (ISO 15924 codes)","Writing system name (English)","ZomboDB analyzer","Language name (and writing system) in English","Directionality","Local language name","Romanized language name","English Wikipedia article","Local Wikipedia article","Comment","TODO USE THIS:","https://github.com/unicode-org/cldr-json/blob/master/cldr-json/cldr-localenames-modern/main/nl/languages.json"
,"oc","Latn","Latin",,"Occitan","ltr","Occitan",,"en:Occitan language",,,,
,"oj","Cans","Unified Canadian Aboriginal Syllabics",,"Ojibwa","ltr","ᐊᓂᔑᓈᐯᒧᐎᓐ","Anishinaabemowin","en:Ojibwe language",,,,
,"om",,,,"Oromo","ltr","Oromoo",,"en:Oromo language",,,,
,"or","Orya","Oriya",,"Oriya","ltr","ଓଡ଼ିଆ",,"en:Oriya language",,,,
,"os","Cyrl","Cyrillic",,"Ossetian","ltr","Иронау",,"en:Ossetian language",,,,
,"pa","Guru","Gurmukhi",,"Panjabi","ltr","ਪੰਜਾਬੀ",,"en:Punjabi language",,,,
,"pag",,,,"Pangasinan","ltr","Pangasinan",,"en:Pangasinan language",,,,
,"pam",,,,"Kapampangan","ltr","Kapampangan",,"en:Kapampangan language",,,,
,"pap",,,,"Papiamentu","ltr","Papiamentu",,"en:Papiamentu language",,,,
,"pdc",,,,"Pennsylvania German","ltr","Deitsch",,"en:Pennsylvania German language",,,,
,"pi",,,,"Pali","ltr","पाऴि","Pāli","en:Pali language",,,,
,"pih","Latn","Latin",,"Norfolk","ltr","Norfuk",,"en:Norfolk language",,,,
"y","pl","Latn","Latin",,"Polish","ltr","Polski",,"en:Polish language","pl:Język polski",,,
,"pms",,,,"Piedmontese","ltr","Piemontèis",,"en:Piedmontese language",,,,
"y","ps","Aran","Arabic (Nastaliq variant)",,"Pashto","rtl","پښتو",,"en:Pashto language",,,,
"y","pt","Latn","Latin","portuguese","Portuguese","ltr","Português",,"en:Portiguese language","pt:Língua portuguesa",,,
,"pt-BR","Latn","Latin","brazilian","Brazilian Portuguese","ltr","Português do Brasil",,"en:Brazilian Portuguese","pt:Português_brasileiro",,,
,"qu",,,,"Quechua","ltr","Runa Simi",,"en:Quechua language",,,,
,"rm",,,,"Raeto Romance","ltr","Rumantsch",,"en:Romansh language",,,,
,"rmy",,,,"Romani","ltr","रोमानी","Romani","en:Romani language",,,,
,"rn",,,,"Kirundi","ltr","Kirundi",,"en:Kirundi language",,,,
"y","ro","Latn","Latin","romanian","Romanian","ltr","Română",,"en:Romanian language","ro:Limba română",,,
"y","ru","Cyrl","Cyrillic","russian","Russian","ltr","Русский",,"en:Russian language","ru:Русский язык",,,
,"rup",,,,"Aromanian","ltr","Armâneashti",,"en:Aromanian language",,,,
,"rw",,,,"Rwandi","ltr","Kinyarwandi",,"en:Kinyarwanda language",,,,
,"sa",,,,"Sanskrit","ltr",,,"en:Sanskrit language",,,,
,"sc","Latn","Latin",,"Sardinian","ltr","Sardu",,"en:Sardinian language",,,,
,"scn",,,,"Sicilian","ltr","Sicilianu",,"en:Sicilian language",,,,
,"sco",,,,"Scots","ltr","Scots",,"en:Scots language",,,,
"y","sd","Aran","Arabic (Nastaliq variant)",,"Sindhi","ltr","سنڌي","en:Sindhi language",,,,,
,"se",,,,"Northern Sami","ltr","Davvisámegiella",,"en:Northern Sami language",,,,
,"sg",,,,"Sango","ltr","Sängö",,"en:Sango language",,,,
